decade,name,TDI
1950,Alfa Romeo,0.7647007836165676
1960,Lotus,0.6449387493177418
1970,Ferrari,0.6983348504251949
1980,McLaren,0.6492069326755177
1990,Williams,0.6963941057935179
2000,Brawn,0.9197855998835178
2010,Mercedes,0.6753042164623704
2020,Red Bull,0.7475192302717503
