year,name,TDI
2017,Mercedes,0.9405693069306932
2015,Mercedes,0.9404637832204272
2019,Mercedes,0.9403818953323904
2004,Ferrari,0.9401815181518152
2011,Red Bull,0.9396821261073476
2016,Mercedes,0.9396746817538896
2023,Red Bull,0.9394014401440144
2025,McLaren,0.9390841584158416
2020,Mercedes,0.938905066977286
2018,Mercedes,0.9385431400282886
