year,name,TDI,TDI_normalized,TDI_rank
1970,Ferrari,0.8094521452145215,0.957859659010368,2.0
1970,March,0.540591784742384,0.6042853006654034,3.0
1970,Brabham,0.4056299776983142,0.4267989867927078,4.0
1970,McLaren,0.3573828526412761,0.3633498927943407,5.0
1970,BRM,0.2894589352249591,0.2740241347146572,6.0
1970,Matra,0.2689588594486978,0.2470647825591881,7.0
1970,Surtees,0.1192808754559666,0.0502254379430365,8.0
1970,Tyrrell,0.1054455445544554,0.0320307950533159,9.0
1970,De Tomaso,0.0997749774977497,0.0245735146085306,10.0
1970,Bellasi,0.081089108910891,0.0,11.0
1971,Tyrrell,0.9264959104606112,1.0,1.0
1971,Ferrari,0.4702721996337565,0.4542137808987621,2.0
1971,BRM,0.4019707233881283,0.3725038574676186,3.0
1971,March,0.3042150267658344,0.2555574761443163,4.0
1971,Lotus,0.2379306930693069,0.176260685961479,5.0
1971,Matra,0.1668012389474241,0.0911676166829057,6.0
1971,McLaren,0.1578206958626897,0.080424078941718,7.0
1971,Brabham,0.1431314131413141,0.0628511034747516,8.0
1971,Surtees,0.1305676996271055,0.0478209734441065,9.0
1971,Bellasi,0.0905940594059405,0.0,10.0
1972,Lotus,0.826143328618576,1.0,1.0
1972,Tyrrell,0.7412061206120613,0.8863610558368651,2.0
1972,McLaren,0.6501584158415842,0.7645467734813602,3.0
1972,Ferrari,0.4675997599759975,0.5202984235848678,4.0
1972,BRM,0.2348346834683467,0.2088780443047773,5.0
1972,Surtees,0.1795916433748637,0.1349674355630392,6.0
1972,Matra,0.1781503150315031,0.133039057706313,7.0
1972,March,0.1743443309848226,0.127946966516627,8.0
1972,Brabham,0.1287278727872787,0.0669159264377834,9.0
1972,Eifelland,0.1058168316831683,0.0362628524569482,10.0
1972,Connew,0.0787128712871287,0.0,11.0
1972,Politoys,0.0787128712871287,0.0,11.0
1972,Tecno,0.0787128712871287,0.0,11.0
1973,Lotus,0.9055814192682252,1.0,1.0
1973,Tyrrell,0.8268676867686768,0.903013261287938,2.0
1973,McLaren,0.5220246286129824,0.5274023851336179,3.0
1973,Brabham,0.1823698388855008,0.108898404982651,4.0
1973,March,0.1625784128049608,0.0845124965895581,5.0
1973,Shadow,0.1571049608220274,0.0777684096244935,6.0
1973,Ferrari,0.1410555462325893,0.0579932023024889,7.0
1973,Surtees,0.1337220211125228,0.0489572353616211,8.0
1973,BRM,0.131373832298484,0.0460639260530443,9.0
1973,Iso-Marlboro,0.1118056720926329,0.0219531136103549,10.0
1973,Tecno,0.0994176875314649,0.0066893193059754,11.0
1973,Ensign,0.0939886845827439,0.0,12.0
1974,McLaren,0.8739654182809585,1.0,1.0
1974,Ferrari,0.8359653465346536,0.9536027114177916,2.0
1974,Lotus,0.6036006100610062,0.6698902540710515,3.0
1974,Brabham,0.5738483848384839,0.6335634126685362,4.0
1974,Tyrrell,0.5736787146456581,0.6333562489307177,5.0
1974,Hesketh,0.2087726217676712,0.1878135823352955,6.0
