year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,total_races,points_share,one_two_rate
1951,trevis,Trevis,1,0,0,30.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,veritas,Veritas,1,0,0,21.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1951,watson,Watson,1,0,0,34.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,afm,AFM,2,0,0,21.2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1952,alta,Alta,2,0,0,15.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1952,aston-butterworth,Aston Butterworth,4,0,0,25.25,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
1952,balsa,Balsa,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,bromme,Bromme,1,0,0,22.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,cisitalia,Cisitalia,1,0,0,35.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,connaught,Connaught,3,0,0,12.25,0.0414937759336099,0.0,0.0,0.013831258644536633,0.0165975103734439,3,0.026041666666666637,0.0
1952,cooper,Cooper,6,0,1,11.6875,0.0995850622406639,0.0,0.0784313725490195,0.016597510373443983,0.0594418680335204,6,0.06250000000000001,0.0
1952,deidt,Deidt,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,era,ERA,3,0,0,19.666666666666668,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
1952,ferrari,Ferrari,8,7,17,11.137254901960784,1.0,0.875,1.0,0.125,0.95625,8,0.6276041666666669,0.0
1952,frazer-nash,Frazer-Nash,4,0,0,13.75,0.0248962655601659,0.0,0.0,0.006224066390041475,0.0099585062240663,4,0.015624999999999957,0.0
1952,gordini,Gordini,7,0,2,12.521739130434783,0.1410788381742738,0.0,0.134453781512605,0.02015411973918197,0.0900449806478608,7,0.08854166666666664,0.0
1952,heck,Heck,1,0,0,12.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,hwm,HWM,7,0,0,17.03846153846154,0.0165975103734439,0.0,0.0,0.0023710729104919857,0.0066390041493775,7,0.010416666666666616,0.0
1952,krakau,Krakau,1,0,0,33.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,kurtis-kraft,Kurtis Kraft,1,0,2,16.714285714285715,0.1078838174273859,0.0,0.9411764705882352,0.1078838174273859,0.2784476446180132,1,0.06770833333333336,0.0
1952,kuzma,Kuzma,1,1,1,1.0,0.0663900414937759,1.0,0.4705882352941176,0.0663900414937759,0.4942030754210398,1,0.04166666666666666,0.0
1952,lesovsky,Lesovsky,1,0,0,14.333333333333334,0.0248962655601659,0.0,0.0,0.0248962655601659,0.0099585062240663,1,0.015624999999999957,0.0
1952,maserati,Maserati,6,0,1,16.6,0.0705394190871369,0.0,0.0784313725490195,0.01175656984785615,0.0478236107721096,6,0.04427083333333332,0.0
1952,nacke,Nacke,1,0,0,18.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,osca,O.S.C.A.,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,reif,Reif,1,0,0,20.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,sherman,Sherman,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
