year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,inv_avg_finish,TDI_normalized,TDI_rank
1950,alfa-romeo,Alfa Romeo,6,6,11,6.954545454545454,1.0,1.0,0.9166666666666666,14.833333333333334,0.9085096009600959,0.8622862286228623,1.0,1.0
1950,kurtis-kraft,Kurtis Kraft,1,1,1,17.133333333333333,0.1573033707865168,1.0,0.5,14.0,0.6055695850483924,0.6607260726072608,0.6487529804334644,2.0
1950,deidt,Deidt,1,0,2,13.0,0.1123595505617977,0.0,1.0,10.0,0.3838580487262209,0.7425742574257426,0.3916871844133756,3.0
1950,ferrari,Ferrari,5,0,4,9.8,0.2359550561797752,0.0,0.4,4.2,0.2680821003448659,0.805940594059406,0.25744953118009406,4.0
1950,talbot-lago,Talbot-Lago,6,0,2,10.947368421052632,0.2247191011235955,0.0,0.1666666666666666,3.333333333333333,0.20409355098726903,0.7832204273058885,0.18325732788004218,5.0
1950,maserati,Maserati,7,0,1,14.972972972972974,0.1235955056179775,0.0,0.0714285714285714,1.5714285714285714,0.14810206683329388,0.7035054856837035,0.11833740678278151,6.0
1950,moore,Moore,1,0,0,7.0,0.0,0.0,0.0,0.0,0.1292079207920792,0.8613861386138614,0.0964303884436598,7.0
1950,nichels,Nichels,1,0,0,10.0,0.0,0.0,0.0,0.0,0.12029702970297029,0.801980198019802,0.08609856111041053,8.0
1950,marchese,Marchese,1,0,0,12.0,0.0,0.0,0.0,0.0,0.11435643564356435,0.7623762376237624,0.07921067622157768,9.0
1950,lesovsky,Lesovsky,1,0,0,12.5,0.0,0.0,0.0,0.0,0.11287128712871286,0.7524752475247525,0.07748870499936947,10.0
1950,stevens,Stevens,1,0,0,13.0,0.0,0.0,0.0,0.0,0.11138613861386139,0.7425742574257426,0.07576673377716128,11.0
1950,alta,Alta,2,0,0,13.333333333333334,0.0,0.0,0.0,0.0,0.11039603960396038,0.7359735973597359,0.07461875296235577,12.0
1950,era,ERA,3,0,0,14.125,0.0,0.0,0.0,0.0,0.10804455445544554,0.7202970297029703,0.0718922985271928,13.0
1950,simca-gordini,Simca-Gordini,3,0,0,17.0,0.0337078651685393,0.0,0.0,1.0,0.10624652352875735,0.6633663366336633,0.0698075524688452,14.0
1950,cooper,Cooper,1,0,0,15.0,0.0,0.0,0.0,0.0,0.10544554455445544,0.7029702970297029,0.06887884888832843,15.0
1950,langley,Langley,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0995049504950495,0.6633663366336633,0.06199096399949558,16.0
1950,ewing,Ewing,1,0,0,18.0,0.0,0.0,0.0,0.0,0.09653465346534654,0.6435643564356436,0.05854702155507917,17.0
1950,rae,Rae,1,0,0,23.0,0.0,0.0,0.0,0.0,0.08168316831683169,0.5445544554455446,0.04132730933299706,18.0
1950,olson,Olson,1,0,0,24.0,0.0,0.0,0.0,0.0,0.07871287128712871,0.5247524752475248,0.037883366888580634,19.0
1950,wetteroth,Wetteroth,1,0,0,25.0,0.0,0.0,0.0,0.0,0.07574257425742574,0.504950495049505,0.03443942444416421,20.0
1950,snowberger,Snowberger,1,0,0,28.0,0.0,0.0,0.0,0.0,0.06683168316831682,0.4455445544554455,0.024107597110914935,21.0
1950,adams,Adams,1,0,0,29.5,0.0,0.0,0.0,0.0,0.062376237623762376,0.4158415841584159,0.018941683444290314,22.0
1950,watson,Watson,1,0,0,35.0,0.0,0.0,0.0,0.0,0.046039603960396046,0.306930693069307,0.0,23.0
1951,kurtis-kraft,Kurtis Kraft,1,1,3,15.058823529411764,0.2209302325581395,1.0,1.0,19.0,0.749456867711395,0.7018054746651136,1.0,1.0
1951,alfa-romeo,Alfa Romeo,7,4,10,7.6,0.872093023255814,0.5714285714285714,0.4761904761904762,10.714285714285714,0.6208919662730392,0.8495049504950495,0.8164530541974478,2.0
1951,ferrari,Ferrari,7,3,11,8.617647058823529,1.0,0.4285714285714285,0.5238095238095238,12.285714285714286,0.6053554094905289,0.8293535235876529,0.794272136125613,3.0
1951,sherman,Sherman,1,0,0,5.0,0.0348837209302325,0.0,0.0,3.0,0.14212525903753165,0.900990099009901,0.1329370565815909,4.0
1951,moore,Moore,1,0,0,7.0,0.0,0.0,0.0,0.0,0.1292079207920792,0.8613861386138614,0.11449549161070259,5.0
1951,talbot-lago,Talbot-Lago,7,0,0,12.377777777777778,0.0581395348837209,0.0,0.0,0.7142857142857143,0.12486223040908741,0.7548954895489549,0.10829132400136388,6.0
1951,era,ERA,1,0,0,9.5,0.0,0.0,0.0,0.0,0.12178217821782178,0.8118811881188119,0.1038940572023042,7.0
1951,osca,O.S.C.A.,1,0,0,10.0,0.0,0.0,0.0,0.0,0.12029702970297029,0.801980198019802,0.10177377032062451,8.0
1951,hwm,HWM,1,0,0,12.5,0.0,0.0,0.0,0.0,0.11287128712871286,0.7524752475247525,0.09117233591222612,9.0
1951,schroeder,Schroeder,1,0,0,15.5,0.0232558139534883,0.0,0.0,2.0,0.10861155883030162,0.693069306930693,0.08509089291826114,10.0
1951,simca-gordini,Simca-Gordini,4,0,0,14.461538461538462,0.0,0.0,0.0,0.0,0.10704493526275703,0.7136329017517136,0.08285428737640584,11.0
1951,brm,BRM,2,0,0,16.4,0.0232558139534883,0.0,0.0,1.0,0.10593829150356895,0.6752475247524753,0.08127437653123773,12.0
